City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Batticaloa,LK,78.39,overcast clouds,7.7102,81.6924,Lake View Hotel
El Calafate,AR,46.85,few clouds,-50.3408,-72.2768,Hostería Las Avutardas
Mugia,ES,48.9,clear sky,43.1041,-9.2179,Solpor do Coído
Zhoushan,CN,56.25,few clouds,30.0108,122.2047,曼居酒店
Belem De Sao Francisco,BR,84.97,few clouds,-8.7539,-38.9658,Village
Sitka,US,42.69,light rain,57.0531,-135.33,Aspen Suites Hotel
Saint-Philippe,RE,75.38,few clouds,-21.3585,55.7679,Le Baril
Robore,BO,69.35,overcast clouds,-18.3333,-59.75,Lajas
Tual,ID,81.72,overcast clouds,-5.6667,132.75,Suita
Viedma,AR,55.45,clear sky,-40.8135,-62.9967,Níjar
Namibe,AO,75.85,moderate rain,-15.1961,12.1522,Residencial Sol e Mar
Ancud,CL,55.63,overcast clouds,-41.8697,-73.8203,Cabañas
Lindi,TZ,72.88,scattered clouds,-10.0,39.7167,Baraka inn
Dubbo,AU,62.73,broken clouds,-32.25,148.6167,Blue Gum Motel
Tazovsky,RU,31.89,snow,67.4667,78.7,Тазовчанка
Constitucion,CL,60.91,broken clouds,-35.3333,-72.4167,Hostal Alameda
Trondheim,NO,36.99,scattered clouds,63.4305,10.3951,Thon Hotel Trondheim
Santa Cruz,BO,89.65,few clouds,-17.8,-63.1667,Residencial Yulimar
Abaza,RU,35.33,scattered clouds,52.655,90.0928,Гостиница Кедр
Masterton,NZ,59.83,overcast clouds,-40.9597,175.6575,Copthorne Hotel Solway Park
Desaguadero,PE,51.4,scattered clouds,-16.5656,-69.0417,Hostal Don Carlos
Onega,RU,32.13,overcast clouds,63.9061,38.1404,"Гостевой комплекс ""Алёнушка"""
Nuku'Alofa,TO,80.94,broken clouds,-21.1333,-175.2,City Hotel
Richland,US,75.11,light rain,40.7834,-82.5499,Mansfield Hotel
Bonthe,SL,77.58,clear sky,7.5264,-12.505,James Buck Memorial Guest House
Huarmey,PE,75.09,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
Olinda,BR,76.73,mist,-8.0089,-34.8553,Fidji Motel
Qarqaraly,KZ,47.21,overcast clouds,49.4058,75.4742,Каркаралинск
Kasempa,ZM,64.63,overcast clouds,-13.4584,25.8338,Kasmpa Council Guest House
Laurel,US,86.65,clear sky,39.0993,-76.8483,Quality Inn & Suites
Salinopolis,BR,78.17,light rain,-0.6136,-47.3561,Hotel Salinópolis
Dame-Marie,HT,78.69,light rain,18.5667,-74.4167,Lambi
Kone,NC,80.1,few clouds,-21.0595,164.8658,Pacifik Appartels
Dosso,NE,85.71,broken clouds,13.049,3.1937,Galaxy Hotel
Rosarito,MX,86.92,scattered clouds,32.3333,-117.0333,WorldMark La Paloma
La Passe,FR,54.9,broken clouds,45.5549,-0.8967,L'Estuaire
Pisco,PE,80.02,clear sky,-13.7,-76.2167,La Portada
Wesselsbron,ZA,70.68,broken clouds,-27.8549,26.3658,Wesselsbron Lodge
Weno,FM,85.32,heavy intensity rain,7.4515,151.8468,High Tide Hotel
Hamilton,US,72.61,broken clouds,39.1834,-84.5333,North Vista Manor
Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,Hotel valencia
Al Wajh,SA,71.55,clear sky,26.2455,36.4525,فندق رالين 2
Tolanaro,MG,73.47,broken clouds,-25.0319,46.9987,Hôtel Mahavokey
Axim,GH,79.72,clear sky,4.8699,-2.2405,Axim Beach Hotel
Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
Holualoa,US,76.84,clear sky,19.6228,-155.9522,Kona Hotel
Rio Grande,BR,68.45,overcast clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
Kerikeri,NZ,64.58,overcast clouds,-35.2268,173.9474,Avalon Resort
Hakui,JP,52.09,overcast clouds,36.8833,136.7833,ビジネスホテル羽音碧々
Uturoa,PF,82.87,light rain,-16.7333,-151.4333,Hawaiki Nui hotel
Kristiansund,NO,41.65,scattered clouds,63.1115,7.732,Comfort Hotel Fosna
Nova Vicosa,BR,77.83,broken clouds,-17.8919,-39.3719,Pousada Pontal da Barra
Aridaia,GR,54.88,scattered clouds,40.9731,22.0564,Hotel Lydra
Shahrud,IR,54.91,light rain,36.4182,54.9763,خانه معلم شاهرود
Slatina,RO,51.85,clear sky,44.4333,24.3667,Hotel Ramada Slatina Parc
Walvis Bay,NA,67.15,clear sky,-22.9575,14.5053,Atlantic
Howrah,IN,84.2,haze,22.5892,88.3103,Sun India Guest House
Tromso,NO,32.02,overcast clouds,69.6496,18.957,Clarion Collection Hotel Aurora
Sabha,LY,63.59,clear sky,27.0377,14.4283,فندق الكاظم-سبها
Mashhad,IR,59.85,heavy intensity rain,36.297,59.6062,هتل تعاون
Okola,CM,68.45,overcast clouds,4.0167,11.3833,Okols Palace
Ardestan,IR,61.9,clear sky,33.3761,52.3694,Tourism Hotel
